student id,student name,accounting,management,entrpreneurship development,english,constitutional studies,interests,attendence,borrowed book 1,borrowed book 2
177,Tyson Parsons,86.65,79.01,91.95,92.74,69.92,Economics,75.3,Muslims in Indian Labour Market,"A Concise Handbook of the Indian Economy in the 21st
Century"
178,Abdul Terry,48.04,54.54,63.76,56.53,47.39,Art,54.7,Panel Data Econometrics with R,"A Population History of India : From the First Modern
People to the Present Day"
179,Nina James,56.87,60.18,65.36,56.42,62.66,French,56.7,"Growth and Development in Emerging Market Economies :
International Private Capital Flow, Financial Markets and
Globalization",A Research on China’s Economic Growth Potential
180,Taylor Brett,82.47,85.69,97.46,80.61,94.58,Art,81.7,GST and Its Aftermath : Is consumer really the King ?,Agriculture in Developing Countries : Technology Issues
181,Bethany Waterson,73.66,72.63,86.33,87.67,78.42,Geography,57.2,"How Lives Change : Palanpur, India, and Development
Economics",An Introduction to Econometric Theory
182,Ramon Bullock,61.83,83.3,80.76,63.66,63.8,History,66.7,How to Combat Recession : Stimulus without Debt,"Analysing Social Opposition to Reforms : The Electricity
Sector in India"
183,Remy Nobbs,72.2,86.41,72.59,82.16,70.47,Handwriting,56.9,Human Development in an Unequal World,Analytical Political Economy
184,Jazmin Grey,46.8,41.49,50.56,38.96,48.72,Economics,45.6,"Inclusive Economics : Gandhian Method and
Contemporary Policy","Arthik Sudhar aur Samajik Apvarjan : Bhaarat Mein
Upekshit Samuhon Par Udareekaran Ka Prabhav"
185,Logan Lane,73.35,68.24,64.56,67.35,67.76,Accounting,68.9,"Inclusive Innovation for Development : Meeting the
Demands of Justice through Public Action",Ascent and Decline of Native and Colonial Trading
186,Felicity Ebbs,82.48,70.72,88.81,70.49,83.47,Language Arts,78.2,India Macroeconomics Annual 2006,"Banking and Finance: Theory, Law & Practice"
187,Jamie Turner,68.76,74.12,69.93,77.74,72.29,Design and technology,61.5,India Macroeconomics Annual 2009,"Beyond Gandhian Economics : Towards a Creative
Deconstruction"
188,Ron Jordan,58.43,43.51,54.02,56.47,49.75,Ecology,51.4,Indian Economy: A Macro-theoretic Analysis,"Beyond Relocation : The Imperative of Sustainable
Resettlement"
189,Barney Beal,18.0,18.0,18.0,18.0,18.0,German,15.0,Indian Microfinance : The Challenges of Rapid Growth,Bharat 2050 : Sthayi Samriddhi ki Yojana
190,Miriam Shaw,62.21,63.23,65.51,79.0,67.82,Ancient Civilizations,81.8,"India's Economy and Growth : Essays in Honour of V K R V
Rao",Bharat ki Videsh Neeti : Chunauti aur Ranneeti
191,Stella Martin,62.75,60.87,65.39,63.82,47.75,English IV,89.3,India's Financial Sector : An Era of Reforms,"Bhartiya Arthavyavsthechi Sankramanavastha : C.T.
kuriyen yanchya sanmanaarth nibandh"
192,Denny Phillips,65.59,61.84,51.07,48.87,56.42,Ancient Civilizations,50.5,India's Liberalisation Experience : Hostage to WTO?,"Bhartiya Arthvyawastha ka Sankaraman Kaal : C T Kurian ke
Samman mein Nibandh Sankalan"
193,Liam Savage,66.37,66.2,75.27,72.54,85.13,Design and technology,91.4,"India's Long-Term Growth Experience : Lessons and
Prospects",Business Interests and the Environmental Crisis
194,Eileen Ballard,65.08,57.1,77.22,68.54,69.03,Accounting,56.1,"Industrial Development and Displacement : The People of
Korba","Capital Market Reform in Asia : Towards Developed and
Integrated Markets in Times of Change"
195,Enoch Whitmore,58.57,71.83,70.67,64.07,68.52,Economics,71.5,Industrial Economics and Telecommunication Regulations,"Cash, Corruption and Economic Development"
196,Jaylene Moreno,34.35,38.27,33.21,45.88,34.3,German,44.0,"Industrial Restructuring in Asia : Implications of the Global
Economic Crisis","Caste-Based Reservations and Human Development in
India"
197,Piper Upsdell,29.43,53.54,50.58,41.82,36.95,Language Arts,45.4,"Informal Economy Centrestage : New Structures of
Employment","Employment and Labour Market in Northeast India:
Interrogating Structural Changes"
198,Carl Mcnally,64.63,60.56,71.67,52.37,49.57,Design and technology,59.7,"Innovation Driven Institutional Research : Towards Integral
Development","Employment and Unemployment in India : Emerging
Tendencies During the Post-Reform Period"
199,Jack Adams,64.58,50.79,58.01,66.92,45.46,Basic Math,74.4,"International Economics: Theory and Policy, Global Edition","Environment and Development : Essays in Honour of Dr U.
Sankar"
200,Henry Lomax,54.44,66.45,71.28,68.14,58.88,English IV,76.3,International Trade : The Basics,Environment and Fiscal Reforms in India
201,Faith Cattell,65.1,48.9,69.83,63.91,62.32,Leadership,93.8,"Planning and Economics of Cities : Shaping Indias Form and
Future","Environmental Accounting, Sustainability and
Accountability"
202,Carmella Tailor,69.6,64.92,62.59,72.05,65.39,Ancient Civilizations,73.9,"Political Economy of Poverty Eradication in India and
Essays on Fiscal Reform",Environmental Economics and Sustainability
203,Alan Kennedy,46.32,63.04,60.66,55.61,51.47,Earth Science,86.9,Principles and Systems of Banking,Essential Mathematics for Economic Analysis
204,Cassandra Rogan,58.87,62.47,61.05,56.64,64.67,German,49.1,Progressive Fiscal Policy in India,Evolution of Banking System in India since 1900
205,Marvin Jarvis,57.43,58.32,60.56,64.86,58.71,French,72.2,"Right to Work and Rural India : Working of the Mahatma
Gandhi National Rural Employment Guarantee Scheme
(MGNREGS)","Finance and Financial Intermediation : A Modern
Treatment of Money, Credit, and Banking"
206,Elisabeth Eddison,79.77,64.39,76.3,86.33,56.3,Grammar,65.4,Risk and Liquidity,"Financial Intermediation in a Less Developed Economy :
The History of the United Bank of India
Financing Cities : Fiscal Responsibility and Urban"
207,Fred Baker,54.19,56.4,56.44,42.66,39.92,English IV,64.3,"Schaum’s Outline of Introduction to Mathematical
Economics","Infrastructure in Brazil, China, India, Poland and South
Africa"
208,Luke Miller,60.97,70.97,84.52,74.94,80.42,Instrumental Music,62.8,Schaum's Easy Outline of Principles of Economics,"Fiscal Consolidation, Budget Deficits and the Macro
Economy"
209,Bryce Campbell,53.46,77.94,74.9,73.42,70.85,Ancient Civilizations,45.3,Schaum's Easy Outlines: Mathematical Economics,"Fiscal Therapy : Curing America's Debt Addiction and
Investing in the Future"
210,Melanie Horton,62.19,75.1,60.36,63.24,46.73,Basic Math,84.0,"Schaum's Outline of Mathematical Methods for Business
and Economics",Food Security in Asia
211,Sage Evans,65.27,50.18,52.99,52.16,61.67,Geography,62.8,Schaum's Outline of Microeconomics,Formal Labour Market in Urban India
212,Aeris Powell,67.38,74.66,60.89,62.97,67.15,Ecology,77.8,Schaum's Outline of Statistics and Econometrics,"Game Theory Approach to Managerial Strategies and
Value Creation"
213,Eduardo Phillips,79.25,69.45,82.55,73.77,71.6,Latin,66.6,"Social Accounting Matrix for India : Concepts, Construction
and Applications","Global Algorithmic Capital Markets : High Frequency
Trading, Dark Pools, and Regulatory Challenges"
214,Alan Cameron,49.24,37.78,53.31,43.59,32.54,Spanish,50.4,Social Economy of Development in India,Globalization : India's Adjustment Experience
215,Alexander Cassidy,63.02,50.24,46.78,69.65,72.15,Sociology,64.6,Strategic Credit Management in Banks,"Globalization and Indigenous Peoples in Asia : Changing
the Local-Global Interface"
216,Chester Amstead,66.83,61.52,61.03,57.05,60.2,Leadership,68.2,"Strategies for Achieving Sustained High Economic Growth :
The Case of Indian States","Globalization of Legal Services and Regulatory Reforms :
Perspectives and Dynamics from India"
217,Isla Eyres,43.5,58.5,52.83,51.96,47.97,Sociology,54.2,"The Community of Advantage : A Behavioural Economist's
Defence of the Market","Grameen Vikas : Siddhant, Neetiyan evam Prabandh"
218,Olivia Walsh,46.02,44.35,55.84,55.69,42.02,French,56.7,The Final Frontier: E&P's Low-Cost Operating Model,"Groundwater Management in India : Physical, Institutional
and Policy Alternatives"
219,Keira Cooper,32.46,42.47,41.21,33.65,43.4,Handwriting,48.4,"The Greening of US Free Trade Agreements : From NAFTA
to the Present Day",Central Banking in Turbulent Times
220,Gil Bristow,36.15,36.89,55.58,34.63,45.41,Language Arts,59.2,The Indian Economy : A Macroeconomic Perspective,"China and India : History, Culture, Cooperation and
Competition"
221,Lillian Payne,40.05,37.41,40.76,36.66,21.9,Resource Program,61.5,"The Other Half of Macroeconomics and the Fate of
Globalization",Cities and Public Policy : An Urban Agenda for India
222,Bryce Jackson,35.88,51.5,50.38,47.48,46.89,Leadership,72.0,"The Paradox of India’s North–South Divide : Lessons from
the States and Regions",
223,Hailey Johnson,44.05,62.05,53.54,60.11,42.62,Handwriting,53.1,"Job Creation and Poverty Reduction in India : Towards
Rapid and Sustained Growth","Contemporary Practices of Mahatma Gandhi National
Rural Employment Guarantee Scheme : Insights from
Districts"
224,Erick Stevens,59.62,59.45,66.78,58.94,47.89,Resource Program,53.0,"Jumpstarting South Asia : Revisiting Economic Reforms and
Look East Policies","Contemporary Topics in Finance - A Collection of Literature
Surveys"
225,Marigold Olivier,62.11,63.78,75.23,70.66,53.54,Sociology,58.8,Land Policies for Equity and Growth : Transforming the,"Corporate Reputation and Social Activism : Strategic
Interaction, Firm Behavior, and Social Welfare"
226,Alba Ellis,56.91,57.85,70.64,65.58,66.29,Dramatics,59.9,Agrarian Structure in Uttar Pradesh,Creative Globalization
227,Jasmine Neville,61.7,60.3,59.27,42.34,42.61,Spanish,71.6,Land Reforms in India : Computerisation of Land Records,"Dainik Jeevan Mein Arthshastra : Vikas Ke Kshetra Me
Karyrat Peshevaron Ke Liye Saral Margdarshika"
228,Fred Harrison,29.84,44.45,42.78,48.31,36.45,Trigonometry,53.7,"Lectures in Macroeconomics : A Capitalist Economy
Without Unemployment",Dalits in Modern India : Vision and Values
229,Mina Mackenzie,20.37,41.73,47.29,51.24,33.74,German,47.6,"Macroeconomic Policies for Emerging and Developing
Economies","Decentralization, Forests and Rural Communities : Policy
Outcomes in Southeast Asia"
230,Charlotte Barclay,60.26,61.25,68.34,73.45,51.97,Geography,50.1,Macroeconomics,"Democratizing Development :
Social Justice in India"
231,Benny Thomas,47.37,65.14,64.36,51.83,53.51,Grammar,66.0,Macroeconomics : Theories & Policies,Demonetisation : A means to an End?
232,Chanelle Harris,93.56,93.62,75.86,80.52,88.43,Basic Math,96.7,"Macroeconomics Simplified : Understanding Keynesian and
Neoclassical Macroeconomic Systems",Development and Distribution
233,Monica Quinton,66.25,83.94,98.0,92.48,75.67,Science,60.6,"Macroeconomics, Global Edition","Development Under Stress : Sri Lankan Economy in
Transition"
234,Louise Vallins,69.64,84.84,91.02,78.49,78.88,Dramatics,79.2,Macroeconomics: Pearson New International Edition,Developmentalism as Strategy
235,Adela Powell,94.3,90.55,94.55,82.41,90.77,History,80.3,"Making Growth Happen in India : A Road Map for Policy
Success","Diminishing Returns at Work : The Consequences of Long
Working Hours"
236,Owen Talbot,33.87,44.33,53.26,49.31,33.04,Latin,32.4,Managerial Economics,Econometric Analysis: International Edition
237,Marvin Mcnally,57.65,83.18,65.27,65.8,63.63,Spanish,75.2,Managerial Economics,Economic Democracy through Pro Poor Growth
238,Cherish Thorpe,53.96,74.97,76.83,67.56,73.02,Ancient Civilizations,64.9,Managerial Economics,"Economic Growth with Social Justice : Collected Writings of
Mahbub ul Haq"
239,Mavis Bowen,62.89,76.43,67.93,77.38,62.89,Language Arts,61.9,Managerial Economics,"Economic Reforms in India and China : Emerging Issues and
Challenges"
240,Vanessa Preston,98.0,98.0,96.0,88.89,98.0,French,75.4,"Micro-Credit, Poverty and Empowerment : Linking the
Triad","Economics in Action : An Easy Guide for Development
Practitioners"
241,Carter Thomson,91.0,98.0,98.0,98.0,98.0,Language Arts,96.7,Microeconomics: An Advanced Treatise,Embodying Integral Development : A Holistic Approach
242,Matt Beal,79.94,65.26,84.03,65.7,70.05,History,87.5,Modern Banking,"Growth and Development in Emerging Market Economies :
International Private Capital Flow, Financial Markets and
Globalization"
243,Shelby Butler,68.51,73.55,77.51,81.66,65.38,Health,63.2,Money and Banking,GST and Its Aftermath : Is consumer really the King ?
244,Bob Bloom,32.17,42.45,53.65,46.75,38.99,Science,50.4,Muslims in Indian Labour Market,"How Lives Change : Palanpur, India, and Development
Economics"
245,Benny Potter,48.5,39.45,50.27,23.43,46.76,Accounting,54.0,Panel Data Econometrics with R,How to Combat Recession : Stimulus without Debt
246,Payton Edler,64.38,86.45,84.31,78.25,75.45,Latin,68.3,The Politics of Poverty : Planning India's Development,Human Development in an Unequal World
247,Kaylee Allington,53.45,49.86,68.19,70.61,46.21,Basic Math,65.0,"The Politics of Water Resource Development in India : The
Case of Narmada","Inclusive Economics : Gandhian Method and
Contemporary Policy"
248,Tony Randall,47.42,51.75,53.69,27.16,47.95,Instrumental Music,36.9,The Roots of Ill-Governance and Corruption,"Inclusive Innovation for Development : Meeting the
Demands of Justice through Public Action"
249,Margaret Vernon,55.91,52.26,63.82,69.44,46.09,Speech,51.2,"The Welfare State in Europe : Economic and Social
Perspectives",India Macroeconomics Annual 2006
250,Claire Rivers,72.22,59.5,74.78,75.78,67.33,Grammar,70.0,"Trade in Services and Trade Agreements : Perspectives
from India and the European Union",India Macroeconomics Annual 2009
251,Rufus Hogg,91.18,61.38,79.52,70.17,73.0,Speech,86.3,"Trade in Services in South Asia : Opportunities and Risks of
Liberalization",Indian Economy: A Macro-theoretic Analysis
252,Isla Waterhouse,47.87,64.47,76.16,57.68,52.64,Basic Math,33.6,"Transitional Puzzles : Reflections on Social, Economic and
Political Issues",Indian Microfinance : The Challenges of Rapid Growth
253,Julius Blackburn,62.42,47.78,70.81,52.69,49.28,Music,49.5,"Understanding Women’s Land Rights : Gender
Discrimination in Ownership","India's Economy and Growth : Essays in Honour of V K R V
Rao"
254,Fred Hardwick,46.93,62.42,60.92,61.32,50.64,Science,61.3,"Unfreedom and Waged Work : Labour in India's
Manufacturing Industry",India's Financial Sector : An Era of Reforms
255,Domenic Lunt,69.77,69.77,59.72,69.54,58.56,LOGIC,63.3,Urban Women in Contemporary India : A Reader,India's Liberalisation Experience : Hostage to WTO?
256,Cynthia Moran,33.73,59.3,45.64,47.05,32.33,American Literature,43.4,"Urbanisation in India : Challenges, Opportunities and the
Way Forward","India's Long-Term Growth Experience : Lessons and
Prospects"
257,Taylor May,66.79,67.87,89.82,66.58,64.11,Modern Literature,72.0,Using Econometrics: Pearson New International Edition,"Industrial Development and Displacement : The People of
Korba"
258,Clint Mcguire,91.23,98.0,88.94,91.99,91.65,Science,79.5,Vikas ka Arthshastra : Samaveshi Samvriddhi ki or,Industrial Economics and Telecommunication Regulations
259,Evie Allcott,66.86,79.27,78.98,64.54,71.99,History,82.6,"Planning and Economics of Cities : Shaping Indias Form and
Future","Industrial Restructuring in Asia : Implications of the Global
Economic Crisis"
260,Carl Wigley,29.07,34.67,31.76,35.85,25.47,Art,56.8,"Political Economy of Poverty Eradication in India and
Essays on Fiscal Reform","Informal Economy Centrestage : New Structures of
Employment"
261,Payton Coll,64.26,61.62,88.17,72.81,60.44,Latin,55.5,Principles and Systems of Banking,"Innovation Driven Institutional Research : Towards Integral
Development"
262,Anais Parr,30.34,36.9,42.62,25.81,31.6,Design and technology,15.0,Progressive Fiscal Policy in India,"International Economics: Theory and Policy, Global Edition"
263,Raquel Hopkins,18.0,38.24,33.95,32.34,30.83,Instrumental Music,44.5,"Right to Work and Rural India : Working of the Mahatma
Gandhi National Rural Employment Guarantee Scheme
(MGNREGS)",International Trade : The Basics
264,Michael Smith,76.12,66.35,81.71,64.74,58.7,Music,75.6,Risk and Liquidity,"Employment and Labour Market in Northeast India:
Interrogating Structural Changes"
265,Gabriel Shelton,66.07,54.69,63.28,59.61,54.65,Geography,61.9,"Schaum’s Outline of Introduction to Mathematical
Economics","Employment and Unemployment in India : Emerging
Tendencies During the Post-Reform Period"
266,Chuck Robinson,41.97,35.87,56.25,52.15,49.44,Geography,53.4,Schaum's Easy Outline of Principles of Economics,"Environment and Development : Essays in Honour of Dr U.
Sankar"
267,Havana Tyrrell,33.84,18.58,32.4,23.77,42.99,Ecology,47.7,Schaum's Easy Outlines: Mathematical Economics,Environment and Fiscal Reforms in India
268,Roger Upton,37.52,51.23,58.54,32.1,30.38,Dramatics,66.3,"Schaum's Outline of Mathematical Methods for Business
and Economics","Environmental Accounting, Sustainability and
Accountability"
269,Cassandra Forth,53.19,71.67,66.46,51.55,52.09,French,44.9,Schaum's Outline of Microeconomics,Environmental Economics and Sustainability
270,Alexa Ring,54.48,61.99,62.7,57.81,60.8,Instrumental Music,57.5,Schaum's Outline of Statistics and Econometrics,Essential Mathematics for Economic Analysis
271,Clarissa Redfern,84.58,70.01,72.18,69.01,74.26,Earth Science,53.9,"Social Accounting Matrix for India : Concepts, Construction
and Applications",Evolution of Banking System in India since 1900
272,Marvin Irving,87.11,78.03,85.11,74.13,83.05,Geography,74.7,Social Economy of Development in India,"Finance and Financial Intermediation : A Modern
Treatment of Money, Credit, and Banking"
273,Eileen Benson,62.24,69.89,46.68,55.37,38.97,Physical Education,78.0,Strategic Credit Management in Banks,"Financial Intermediation in a Less Developed Economy :
The History of the United Bank of India
Financing Cities : Fiscal Responsibility and Urban"
274,Eve Hill,53.63,63.99,60.14,67.0,61.41,Sociology,95.3,"Strategies for Achieving Sustained High Economic Growth :
The Case of Indian States","Infrastructure in Brazil, China, India, Poland and South
Africa"
275,Ivy Giles,63.27,68.37,73.82,54.94,63.05,Basic Math,48.6,"The Community of Advantage : A Behavioural Economist's
Defence of the Market","Fiscal Consolidation, Budget Deficits and the Macro
Economy"
276,Chris Buckley,43.21,48.61,49.98,53.98,64.22,Modern Literature,58.7,The Final Frontier: E&P's Low-Cost Operating Model,"Fiscal Therapy : Curing America's Debt Addiction and
Investing in the Future"
277,Cassandra Kelly,66.47,51.16,61.45,53.55,61.72,Handwriting,49.5,"The Greening of US Free Trade Agreements : From NAFTA
to the Present Day",Food Security in Asia
278,Julian Andrews,67.05,68.72,89.11,82.43,71.36,Leadership,56.2,The Indian Economy : A Macroeconomic Perspective,Formal Labour Market in Urban India
279,Doug Amstead,35.77,48.11,42.96,46.6,39.53,Speech,57.1,"The Other Half of Macroeconomics and the Fate of
Globalization","Game Theory Approach to Managerial Strategies and
Value Creation"
280,Marie Groves,76.14,83.45,76.8,68.79,68.78,Physical Education,69.9,"The Paradox of India’s North–South Divide : Lessons from
the States and Regions","Global Algorithmic Capital Markets : High Frequency
Trading, Dark Pools, and Regulatory Challenges"
281,Domenic Truscott,69.31,83.96,81.49,82.0,78.93,Accounting,81.9,The Politics of Poverty : Planning India's Development,Globalization : India's Adjustment Experience
282,Alan Gray,48.25,46.33,61.86,62.36,49.97,Instrumental Music,61.0,"The Politics of Water Resource Development in India : The
Case of Narmada","Globalization and Indigenous Peoples in Asia : Changing
the Local-Global Interface"
283,Dasha Rees,51.2,67.4,63.35,75.28,46.66,Sociology,51.3,The Roots of Ill-Governance and Corruption,"Globalization of Legal Services and Regulatory Reforms :
Perspectives and Dynamics from India"
284,Benjamin Tailor,31.89,26.55,55.77,48.77,24.93,Latin,48.8,"The Welfare State in Europe : Economic and Social
Perspectives","Grameen Vikas : Siddhant, Neetiyan evam Prabandh"
285,Courtney Miller,97.84,98.0,98.0,96.52,93.63,Grammar,67.3,"Trade in Services and Trade Agreements : Perspectives
from India and the European Union","Groundwater Management in India : Physical, Institutional
and Policy Alternatives"
286,Lexi Judd,80.0,81.87,73.53,75.71,65.12,Latin,81.6,"Trade in Services in South Asia : Opportunities and Risks of
Liberalization","Job Creation and Poverty Reduction in India : Towards
Rapid and Sustained Growth"
287,Abdul Jeffery,48.03,71.43,70.61,57.01,60.52,American Literature,68.6,"Transitional Puzzles : Reflections on Social, Economic and
Political Issues","Jumpstarting South Asia : Revisiting Economic Reforms and
Look East Policies"
288,Colleen Curtis,54.95,75.79,63.7,54.72,56.14,Music,55.6,"Understanding Women’s Land Rights : Gender
Discrimination in Ownership",Land Policies for Equity and Growth : Transforming the
289,Alan Bell,63.6,69.4,76.61,67.39,60.63,Latin,71.5,"Unfreedom and Waged Work : Labour in India's
Manufacturing Industry",Agrarian Structure in Uttar Pradesh
290,Chadwick Cassidy,58.82,49.63,51.99,39.24,36.89,German,57.2,Urban Women in Contemporary India : A Reader,Land Reforms in India : Computerisation of Land Records
291,Winnie Watson,51.18,59.32,62.9,62.1,58.11,Grammar,71.3,"Urbanisation in India : Challenges, Opportunities and the
Way Forward","Lectures in Macroeconomics : A Capitalist Economy
Without Unemployment"
292,Tess Wood,46.21,43.8,49.37,56.34,47.55,Basic Math,65.6,Using Econometrics: Pearson New International Edition,"Macroeconomic Policies for Emerging and Developing
Economies"
293,Jacob Goldsmith,51.02,68.74,72.7,64.9,57.87,Earth Science,51.9,Vikas ka Arthshastra : Samaveshi Samvriddhi ki or,Macroeconomics
294,Adeline Shaw,47.68,47.33,47.94,58.14,49.74,Design and technology,46.6,"Management: Tasks, Responsibilities and Practices",Macroeconomics : Theories & Policies
295,Kamila Wilkinson,75.14,57.6,79.09,77.65,70.1,Language Arts,72.0,Advanced Accounts,"Macroeconomics Simplified : Understanding Keynesian and
Neoclassical Macroeconomic Systems"
296,David Alldridge,52.11,59.73,64.02,58.44,53.81,Accounting,39.7,Fundamental of Financial Accounting,"Macroeconomics, Global Edition"
297,Jade Morris,64.08,50.17,65.02,59.71,55.64,Resource Program,62.3,Risk Management in Finance,Macroeconomics: Pearson New International Edition
298,Lucy Milner,98.0,98.0,98.0,94.19,98.0,Mathematics,90.4,India Accounting Standards,"Making Growth Happen in India : A Road Map for Policy
Success"
299,Emery Nurton,70.3,81.35,78.55,63.33,64.16,Science,76.9,Illustrated Guide to India Accounting Standards,Managerial Economics
300,Nicole Tennant,61.5,75.35,78.26,62.73,53.93,Ancient Civilizations,63.9,Company Law and Secretarial Practice.,Managerial Economics
301,Rose Savage,74.06,65.51,61.54,65.07,49.39,Handwriting,57.8,Guide to Company Law Procedures.,Managerial Economics
302,Bart King,43.24,52.12,42.43,35.73,45.88,Economics,48.9,Management Information Systems,Managerial Economics
303,Renee Chappell,82.78,73.3,76.79,72.49,87.1,History,80.0,Management Information Systems: Managerial Perspectives,"Micro-Credit, Poverty and Empowerment : Linking the
Triad"
304,Trisha Farrell,78.75,88.12,80.91,86.39,91.0,Earth Science,67.7,Currency Banking & Exchange,Microeconomics: An Advanced Treatise
305,Alan Addley,57.7,67.88,66.68,64.83,42.84,Art,64.0,Professional Business Skills 2nd Edition,Modern Banking
306,Macy Hope,79.79,87.91,89.49,82.72,87.68,German,72.9,Financial Management in Hotels and Restaurant Industry,Money and Banking
307,Kurt Rigg,43.23,61.83,57.72,50.33,53.95,Science,68.2,Principles of Accounting &Advanced Accounting,Muslims in Indian Labour Market
308,Maya Kerr,29.98,41.97,34.9,38.67,18.0,Dramatics,34.0,Professional Communication Skills,Panel Data Econometrics with R
309,Courtney Walker,48.2,51.41,62.3,46.93,49.28,Spanish,63.7,Marketing Management” (Latest Edition)-,"Growth and Development in Emerging Market Economies :
International Private Capital Flow, Financial Markets and
Globalization"
310,Angelique Rycroft,38.94,40.15,44.17,50.63,50.71,Handwriting,15.0,"Marketing Management-Concepts and Cases”,",GST and Its Aftermath : Is consumer really the King ?
311,Ryan Thompson,56.26,62.08,57.4,52.23,49.93,Spanish,38.6,Human Resource Management,"How Lives Change : Palanpur, India, and Development
Economics"
312,Molly Hamilton,56.99,79.77,79.17,70.3,63.25,French,72.4,"Essentials of Financial Accounting,",How to Combat Recession : Stimulus without Debt
313,Harry Brown,40.55,32.91,51.94,46.49,42.97,LOGIC,60.2,Advertising and Promotion Management,Human Development in an Unequal World
314,Cynthia Powell,45.18,76.4,64.91,63.21,49.4,History,47.3,Introduction to Computers,"Inclusive Economics : Gandhian Method and
Contemporary Policy"
315,Bob Eaton,59.75,68.66,70.19,66.2,58.01,Resource Program,61.5,"Introduction To Information Technology,","Inclusive Innovation for Development : Meeting the
Demands of Justice through Public Action"
316,Jack Ranks,41.96,55.68,54.65,47.21,42.23,Speech,75.5,Web Commerce Technology Hand Book,India Macroeconomics Annual 2006
317,Isabella Fields,41.37,59.71,47.2,36.33,30.15,History,58.8,IFRS (Red Book).,India Macroeconomics Annual 2009
318,Benjamin Weston,55.45,60.15,58.3,54.37,54.35,Earth Science,72.4,Brand Management,Indian Economy: A Macro-theoretic Analysis
319,Gwenyth Palmer,67.99,78.0,71.67,76.88,67.79,Spanish,68.1,Training and Development Methods,Indian Microfinance : The Challenges of Rapid Growth
320,Keira Matthews,46.0,60.97,63.54,44.89,38.65,Accounting,56.5,Questionnaire Design,"India's Economy and Growth : Essays in Honour of V K R V
Rao"
321,Keira Pitt,49.16,65.19,50.1,56.73,37.78,Geography,44.1,"Corporate Governance (Indian Edition),",India's Financial Sector : An Era of Reforms
322,Lucas Brooks,51.53,65.44,58.38,45.58,65.52,Music,64.3,Fundamentals of Computers,India's Liberalisation Experience : Hostage to WTO?
323,Scarlett Dwyer,50.32,54.64,58.57,69.06,65.48,Spanish,83.7,Information Technology,"India's Long-Term Growth Experience : Lessons and
Prospects"
324,Danny Walsh,43.75,48.35,61.92,62.24,52.84,Geography,53.8,Managerial Economics,"Industrial Development and Displacement : The People of
Korba"
325,Barry Harris,46.7,60.27,53.37,55.36,57.14,Sociology,48.7,Quantitative Methods for Business,Industrial Economics and Telecommunication Regulations
326,Rick Snow,54.18,57.4,68.11,57.62,58.87,German,64.6,Cost Accounting,"Industrial Restructuring in Asia : Implications of the Global
Economic Crisis"
327,Moira Overson,42.2,53.81,49.72,43.49,53.01,Geography,45.7,,"Informal Economy Centrestage : New Structures of
Employment"
328,Cameron Veale,39.71,49.88,58.51,48.56,53.23,Science,67.3,LIST OF BOOKS FOR DEPARTMENT OF COMMERCE,"Innovation Driven Institutional Research : Towards Integral
Development"
329,Josh Wigley,46.82,57.8,53.83,53.99,54.28,Earth Science,75.9,NAME OF BOOK,"International Economics: Theory and Policy, Global Edition"
330,Enoch Isaac,84.36,84.34,86.78,82.17,86.74,German,75.1,Ethics and the Conduct of Business,International Trade : The Basics
331,Chelsea Clifford,39.69,49.54,66.41,58.35,46.18,LOGIC,45.0,Business management,"Planning and Economics of Cities : Shaping Indias Form and
Future"
332,Leslie Murphy,63.81,65.86,76.68,58.19,55.8,Ancient Civilizations,78.5,Management,"Political Economy of Poverty Eradication in India and
Essays on Fiscal Reform"
333,Eduardo Lindop,67.0,62.34,51.19,65.18,64.84,Accounting,61.8,Principles and Practice of Management,Principles and Systems of Banking
334,Chadwick Snow,39.95,39.36,57.08,42.12,45.04,Sociology,47.4,Fundamentals of Corporate Accounting,Progressive Fiscal Policy in India
335,Rosemary Mccormick,51.25,26.93,46.22,44.1,24.91,French,68.5,Advanced Accounts,"Right to Work and Rural India : Working of the Mahatma
Gandhi National Rural Employment Guarantee Scheme
(MGNREGS)"
336,Ally Parker,45.21,61.68,52.15,64.62,65.78,Accounting,42.9,Financial Accounting,Risk and Liquidity
337,Emmanuelle Chester,67.4,68.87,61.7,61.18,68.94,Ancient Civilizations,71.4,Advanced Accounting,"Schaum’s Outline of Introduction to Mathematical
Economics"
338,Matthew Stone ,47.3,51.33,45.93,56.62,45.25,Economics,59.6,The Principles of Mercantile Law,Schaum's Easy Outline of Principles of Economics
339,Jolene Vaughan,38.95,53.17,62.97,52.2,42.56,Language Arts,23.9,Introduction to Accounting,Schaum's Easy Outlines: Mathematical Economics
340,Carl Hilton,19.13,18.0,22.2,18.0,18.0,Dramatics,46.5,Cost Accounting,"Schaum's Outline of Mathematical Methods for Business
and Economics"
341,Rick Clarke,63.56,59.64,62.37,48.5,48.16,Geography,61.0,Cost Accounting,Schaum's Outline of Microeconomics
342,Martin Brown,66.98,73.78,69.35,50.03,60.17,Dramatics,71.1,Principles of Company Law.,Schaum's Outline of Statistics and Econometrics
343,Hayden Gardner,67.75,56.89,70.47,67.9,61.57,Resource Program,60.0,Working in Microsoft office,"Social Accounting Matrix for India : Concepts, Construction
and Applications"
344,Anais Yates,58.85,62.4,63.08,60.78,56.29,French,59.5,Personal Management and Human Resources,Social Economy of Development in India
